# This is an all-caps acronym/abbreviation definition file, ASCII-only format
# To be used with soyacro.py or similar application
# Format each entry all on one line with three elements; ASCII characters only:
#    ALL-CAPSorNUMBERS-NOTHING-ELSE-ACRONYM/ABBREVIATION
#    A-SINGLE-COMMA
#    Nothing OR a mixed-case replacement for the all-caps, ie MHZ,MHz,Megahertz
#    A-SINGLE-COMMA
#    Acronym / abbreviation expansion all on ONE line, no HTML. Examples:
# MHZ,MHz,Megahertz
# ADC,,Analog to Digital Converter
# -----------------------------------------------------------------------------

HIFI,HiFi,High Fidelity
HI,,Hawaii (USA)
HIPAA,,Health Insurance Portability and Accountability Act (US)
HIV,,Human Immunodeficiency Virus
HOA,,Home Owner's Association
HP,,Hewlett-Packard (company) or Highway Patrol (officer)
HQ,,Headquarters
HR,,Human Resources
HRW,,Human Rights Watch
HTH,,Hope That Helped or Here To Help
HTML2,,HyperText Markup Language version 2
HTML3,,HyperText Markup Language version 3
HTML4,,HyperText Markup Language version 4
HTML5,,HyperText Markup Language version 5
HTML,,HyperText Markup Language (in general, also version 1)
HTTP,,HyperText Transfer Protocol
HTTPS,,HyperText Transfer Protocol, Secure
HWP,,HighWay Patrol; Height Weight Proportional
HZ,Hz,Hertz (cycles per second)
IA,,Iowa (USA)
IBM,,International Business Machines
ICANN,,Internet Corporation For Assigned Names And Numbers
ICBM,,Intercontinental Ballistic Missile
ICE,,Immigration and Customs Enforcement (US)
IC,,Integrated Circuit; Insenstive Clod
ICMP,,Internet Control Message Protocol
IDC,,I Don't Care
IDE,,Integrated Development Environment (for example editor + compiler + linker)
IDF,,Israel Defense Forces
IDGAD,,I Don't Give A Damn
IDGAF,,I Don't Give A Fuck
ID,,Idaho (USA); Identification
IDK,,I Don't Know
IE,,Internet Explorer 
IE2,,Internet Explorer v2
IE3,,Internet Explorer v3
IE4,,Internet Explorer v4
IE5,,Internet Explorer v5
IE6,,Internet Explorer v6
IE7,,Internet Explorer v7
IE8,,Internet Explorer v8
IE9,,Internet Explorer v9
IE10,,Internet Explorer v10
IE11,,Internet Explorer v11
IED,,Improvised Explosive Device
IEEE,,Institute Of Electrical And Electronics Engineers
IF,,Intermediate Frequency
IIRC,,If I ReCall
IIS,,Internet Information Services
IL,,Illinois (USA)
IMDB,IMDb,Internet Movie Database
IMHO,,In My Honest Opinion
IMO,,In My Opinion
INF,,Intermediate-range Nuclear Forces (treaty)
IN,,Indiana (USA)
IOT,,Internet Of Things
IOW,,In Other Words
IP,,Internet Protocol (often a specific Internet address); Intellectual Property
IPV4,IPv4,Internet Protocol, 32-bit
IPV6,IPv6,Internet Protocol, 128-bit
IQ,,Intelligence Quotient or I/Q phases of data encoding
IRC,,Internet Relay Chat
IRQ,,Interrupt ReQuest
IRS,,Internal Revenue Service (US)
ISA,,Industry Standard Architecture
ISIS,,Islamic State of Iraq and Syria
ISO,,The name ISO is taken from the ISO 9660 file system used with CD-ROM media, but what is known as an ISO image might also contain a UDF (ISO/IEC 13346) file system (commonly used by DVDs and Blu-ray Discs).
ISP,,Internet Service Provider
ISRO,,India Space Research Organisation
ISS,,International Space Station
JPEG,,A format for compressing image files.
JPG,,A format for compressing image files.
JRE,,Java Runtime Environment
JSON,,A file format designed to hold human- and machine-readable data
KB,,Kilobytes or Knowledge Base
KFLOPS,,Kilo FLoating Point OPerations per Second
KGB,,Now the FSB - Komitet Gosudarstvennoi Bezopaznosti (Committee for State Security) Federal Security Service (Russian Federation)
KHZ,KHz,Kilohertz - Thousands of cycles per second
KMS,,Kilometers; Knowledge Management System
KPH,,Kilometers Per Hour
KS,,Kansas (USA)
KVM,,Keyboard, Video, and Mouse switch
KWH,kWh,kiloWatt-Hour
KW,kW,kiloWatt
KY,,Kentucky (USA)
LA,,Louisiana (USA); Los Angeles (California, USA)
LAN,,Local Area Network
LC,,Inductor-Capacitor combination
LCD,,Liquid Crystal Display
LDAP,,Lightweight Directory Access Protocol
LED,,Light Emitting Diode
LENR,,Low Energy Nuclear Reactor
LF,,Low Frequency
LGB,,Lesbian, Gay and Bisexual
LGBT,,Lesbian, Gay, Bisexual and Transexual
LGBTQ,,Lesbian, Gay, Bisexual, Transexual and Questioning
LGBTQQ,,Lesbian, Gay, Bisexual, Transexual, Questioning, Queer
LIFO,,Last In, First Out
LLC,,Limited Liability Corporation
LMAO,,Laughing My Ass Off
LMFAO,,Laughing My Fucking Ass Off
LOL,,Laugh Out Loud
LPI,,Lines Per Inch
LTE,,A mobile communications standard
MAC,,Media Access Control address
MA,,Massachusetts (USA)
MB,,Megabytes; Manitoba (Canada)
MD,,Maryland (USA); Medical Doctor
ME,,Maine (USA)
MFLOPS,,Million FLoating Point OPerations per Second
MF,,Medium Frequency
MHZ,MHz,Megahertz - Millions of cycles per second
MI6,,Secret Intelligence Service (UK, also know as SIS)
MIC,,Miltary Industrial Complex
MIDI,,Musical Instrument Digital Interface
MI,,Michigan (USA); Machine Intelligence
MIT,,Massachusetts Institute of Technology
MLB,,Major League Baseball
MM,,2-digit Month, 01-12
MMU,,Memory Management Unit
MN,,Minnesota (USA)
MOAB,,Mother Of All Bombs - a very large fuel-air bomb
MO,,Missouri (USA)
MPAA,,Motion Picture Association of America
MPEG,,Motion Picture Experts Group
MPH,,Miles Per Hour
MP,,MegaPixel; Member of Parliament
MS,,Mississippi (USA); MicroSoft
MST,,Mountain Standard Time
MT,,Montana (USA)
MUMPS,,Programming language: Massachusetts General Hospital Utility Multi-Programming System
NAFTA,,North American Free Trade Agreement
NASA,,National Aeronautics and Space Administration (US)
NAT,,Network Address Translation
NATO,,North Atlantic Treaty Organization
NBC,,National Broadcasting Company
NB,,New Brunswick (Canada)
NCIS,,Naval Criminal Investigative Service (US)
NC,,North Carolina (USA)
NDA,,Non Disclosure Agreement
ND,,North Dakota (USA)
NE,,Nebraska (USA)
NFW,,No Fucking Way
NGO,,Non-Governmental Organization
NHK,,International public broadcasting service of Japan.
NH,,New Hampshire (USA)
NHS,,National Health Service (Britain)
NIH,,Not Invented Here
NIMBY,,Not In My Back Yard
NIST,,National Institute of Standards and Technology
NJ,,New Jersey (USA)
NL,,New Brunswick; New Line
NM,,New Mexico (USA)
NN,,Network Neutrality
NOT,,NOT gate: input 1 = output in opposite state
NPM,,Node Package Manager (Javascript)
NPR,,National Public Radio (US)
NRA,,National Rifle Association (US)
NRCC,,National Republican Congressional Committee (US)
NRO,,National Reconnaisance Office (US)
NSA,,National Security Agency (US)
NSFW,,Not Safe For Work
NS,,Nova Scotia (Canada)
NTS,,Note To Self
NTW,,Not To Worry
NU,,Nunavut (Canada)
NVM,,Non Volatile RAM
NV,,Nevada (USA)
NWS,,National Weather Service (USA)
NYC,,New York City (New York, USA)
NY,,New York (USA)
NYPD,,New York city Police Department
NYT,,New York Times
NZ,,New Zealand; Non-Zero
OC,,Organized Crime; Original Content
OCR,,Optical Character Recognition
OEM,,Original Equipment Manufacturer
OH,,Ohio (USA)
OK,,Oklahoma (USA); "Okay"
OJT,,On the Job Training
OLED,,Organic Light Emitting Diode
OMB,,Office of Management and Budget (US)
OMG,,Oh My God
ON,,Ontario (Canada)
OOP,,Object Oriented Programming
OPEC,,Organization of Petroleum Exporting Countries
OP,,Original Poster
OR,,Oregon (USA); OR gate: input 1 OR input 2 = output
OS9,,An OS for the 6800 and 6809 microprocessors
OSI,,Open Systems Interconnection
OS,,Operating System, Open-Source (software)
OSX,OS X,Operating System X (Apple), AKA MacOS
OTC,,Over The Counter
OTOH,,On The Other Hand
P2P,,Peer to Peer
PAC,,Political Action Group
PA,,Pennsylvania (USA)
PCI,,Payment Card Industry
PC,,Personal Computer
PD,,Public Domain, Police Department
PE,,Prince Edward Island (Canada)
PI,,Private Investigator
PITA,,Pain In The Ass
PM,,Prime Minister; Post Meridiem - after midday
PNAS,,Proceedings of the National Academy of Sciences
PNG,,Portable Network Graphics (an image file format and its support community)
POS,,Piece Of Shit
POV,,Point Of View
PPI,,Pixels Per Inch
PROM,,Programmable Read-Only Memory - can be user programmed, usually only once
PR,,Pull Request - source code alteration submission
PS,,PostScript
PSLV,,Polar Satellite Launch Vehicle
PST,,Pacific Standard Time
QC,,Quebec (Canada)
QSL,,Radio shorthand for response
RAID,,Redundant Array of Independent Disks
RAM,,Random Access Memory - get to any part of the memory at any time
RAW,,Deep color image files, usually from cameras
RCA,,Radio Corporation of America; an audio / low RF connector
RC,,Radio Control(ed)
RDS,,Radio Data System
RFI,,Radio Frequency Interference
RF,,Radio Frequency, usually short for Radio Frequency signal
RGBA,,Red, Green, Blue, Alpha (transparency)
RGB,,Red, Green, Blue
RIAA,,Recording Industry Association of America
RI,,Rhode Island (USA)
RNA,,RiboNucleic Acid: messenger carrying instructions from DNA
RNC,,Repubican National Convention
ROM,,Read-Only Memory - you can't write new information to this
ROTFL,,Rolling On The Floor Laughing
RPM,,Revolutions Per Minute
RTTY,,Radio Teletype
SATA,,Serial Advanced Technology Attachment
SCA,,Subsidiary Communications Authorization
SCOTUS,,Supreme Court Of The United States
SC,,South Carolina (USA)
SDR,,Software Defined Radio
SD,,South Dakota (USA)
SDK,,Software Development Kit
SEO,,Search Engine Optimization
SETI,,Search for Extra Terrestrial Intelligence
SF,,Science Fiction or less accurately Speculative Fiction; San Francisco (California)
SFWA,,Science Fiction Writers of America
SFW,,Safe For Work
SHF,,Super High Frequency
SIG,,Special Interest Group; Signature
SIMM,,Single Inline Memory Module
SIS,,Secret Intelligence Service (UK, also know as MI6)
SK,,Saskatchewan (Canada)
SLR,,Single Lens Reflex (cameras)
SLS,,Space Launch System
SMB,,Server Message Block
SMH,,Suck Me Hard
SMS,,Short Message Service
SN,,Soylent News
SOC,SoC,System on a Chip
SOL,,Shit Out of Luck
SO,,Significant Other
SQL,,Structured Query Language (for databases)
SRLSY,,Seriously
SSA,,Social Security Administration (US)
SSB,,Single SideBand
SSD,,Solid State Disk
SSH,,Secure SHell
SSL,,Secure Sockets Layer
SSN,,Social Security Number
SSO,,Sun Synchronous Orbit
SSTV,,Slow Scan TeleVision - images encoded into audio tones, generally sent by radio
SW,,Shortwave (radio)
SWAT,,Special Weapons And Tactics 
TAM,,Total Addressable Market
TANSTAAFL,,There Ain't No Such Thing As A Free Lunch
TBH,,To Be Honest
TFA,,The Fucking Article: bowdlerized, The Fine Article
TFLOPS,,Tera FLoating Point OPerations per Second
TFS,,The Fucking Summary: bowdlerized, The Fine Summary
TF,,The Fuck
TFT,,Thin Film Transistor (usually display)
THOT,,That Hoe Over There
THZ,THz,TeraHertz
TIA,,Thanks In Advance
TIFF,,Tagged Image File Format
TIL,,Today I Learned
TLA,,Three Letter Agency (FBI, CIA, NSA, etc.)
TLDR,TL;DR:,Too Long, Didn't Read
TL,,Too Long
TMI,,Too Much Information
TN,,Tennessee (USA)
TOS,,Terms Of Service
TRS,,Tip Ring Sleeve connector
TSA,,Transportation Security Administration (US)
TSMC,,Taiwan Semiconductor Manufacturing Company
TTL,,Transistor-Transistor Logic, or for cameras, Through The Lens, or in networking, Time To Live
TTYL,,Talk To You Later
TTY,,Teletype
TV,,Television
TX,,Texas (USA)
UAE,,United Arab Emirates
UAV,,Unmanned Aerial Vehicle
UCSD,,University of California, San Diego
UC,,University of California
UDP,,User Datagram Protocol
UHF,,Ultra High Frequency
UK,,United Kingdom
UNESCO,,United Nations Educational, Scientific and Cultural Organization
UN,,United Nations
UPS,,Uninterruptible Power Supply, or United Parcel Service
URI,,Uniform Resource Identifier
URL,,Uniform Resource Locator
USAF,,United States Air Force
USA,,United States of America; United States Army
USB2,,Universal Serial Bus v2
USB3,,Universal Serial Bus v3
USB,,Universal Serial Bus
USD,,United States Dollars (currency)
USG,,United States Government
USMC,,United States Marine Corps
USMCA,,United States-Mexico-Canada Agreement
USN,,United States Navy
USPS,,United States Postal Service
USSR,,United Soviet Socialist Republics
US,,United States (of America)
UTC,,Universal Coordinated Time
UT,,Utah (USA)
VA,,Virgina (USA); Veteran's Administration (US)
VC,,Venture Capitalist
VFO,,Variable Frequency Oscillator
VIP,,Very Important Person
VLSI,,Very Large Scale Integrated circuit
VM,,Virtual Memory
VPN,,Virtual Private Network
VRAM,,Video Ram
VT,,Vermont (USA)
VW,,VolksWagon
WAN,,Wide Area Network
WASP,,White Anglo Saxon Protestant
WA,,Washington (USA)
WEC,,Wave Energy Converter
WFM,,Wide FM (generally 200 KHz wide broadcast format)
WHO,,World Health Organization
WIFI,Wi-Fi,WLAN based on any of the 802.11 standards
WI,,Wisonsin (USA)
WIP,,Work In Progress
WLAN,,Wireless Local Area Network
WRT,,With Regard To
WSJ,,Wall Street Journal (US newspaper)
WTF,,What The Fuck
WTH,,What The Hell
WV,,West Virginia (USA)
WW1,,World War One
WW2,,World War Two
WW3,,World War Three
WWW,,World Wide Web (or just, "the Web")
WY,,Wyoming (USA)
XML,,eXtensible Markup Language
XOR,,XOR gate: input 1 not equal input 2 = output
XTAL,,Crystal
YMMV,,Your Milage May Vary
YOLO,,You Only Live Once
YT,,Yukon Territory (Canada)
YY,,last 2-digits year
YYYY,,4-digit Year
